Skill,Category,Aliases
Leadership,Soft Skills,"team leadership, mentorship, project ownership, driving initiatives"
Problem Solving,Soft Skills,"analytical thinking, critical thinking, debugging, root cause analysis"
Collaboration,Soft Skills,"cross-functional teamwork, agile, scrum, sprint planning, jira"
Time Management,Soft Skills,"prioritization, deadline delivery, multitasking"
Code Review,DevOps & MLOps,"pull requests, pr reviews, clean code, code quality"
Unit Testing,DevOps & MLOps,"pytest, unittest, test driven development, tdd"
Model Deployment,DevOps & MLOps,"model serving, onnx, triton, flask ml serving, fastapi ml api"
Model Evaluation,Machine Learning & Deep Learning,"roc-auc, confusion matrix, precision-recall, f1-score, cross-validation"
Feature Engineering,Machine Learning & Deep Learning,"scaling, encoding, imputation, feature selection, one-hot encoding"
Data Cleaning,Data Analysis & BI,"data wrangling, missing data handling, outlier detection, deduplication"
Explainable AI,Machine Learning & Deep Learning,"xai, shap, lime, model interpretability, feature importance"
Web Scraping,Data Analysis & BI,"beautifulsoup, scrapy, selenium, data crawling"
PySpark,Big Data & Cloud,"pyspark dataframe, spark mllib"
Polars,Data Analysis & BI,"polars dataframe, rust-based polars"
Jupyter,Data Analysis & BI,"jupyter notebooks, jupyterlab, ipython"
Google Colab,Data Analysis & BI,"colab, cloud jupyter"
Prompt Engineering,NLP & GenAI,"zero-shot prompting, few-shot prompting, chain-of-thought"
Fine-Tuning,NLP & GenAI,"lora, qlora, peft, sft, model fine-tuning"
Semantic Search,NLP & GenAI,"dense retrieval, vector search, bi-encoder, cross-encoder"
Graph Databases,Programming & DB,"neo4j, cypher, graph neural networks"
CUDA,Machine Learning & Deep Learning,"gpu computing, nvidia cuda, parallel processing"
Elasticsearch,Big Data & Cloud,"elastic search, elk stack, kibana"
Logistics & Operations,Data Analysis & BI,"supply chain analytics, inventory optimization"
FinTech Analytics,Data Analysis & BI,"financial modeling, risk assessment, fraud detection"
Healthcare Analytics,Data Analysis & BI,"clinical data analysis, biostatistics, medical imaging"
Dart,Programming & DB,"dart lang, dart flutter"
Flutter,Programming & DB,"flutter framework, flutter mobile"
Swift,Programming & DB,"swift ios, swiftui, uikit, swift language"
SwiftUI,Programming & DB,"swiftui, uikit"
Xcode,Programming & DB,"xcode ide, apple development"
Android Studio,Programming & DB,android studio ide
Jetpack,Programming & DB,"android jetpack, jetpack compose, viewmodel"
Solidity,Programming & DB,"solidity smart contracts, ethereum solidity"
Ethereum,Programming & DB,"evm, web3, ether"
Smart Contracts,Programming & DB,"smart contracts, evm contracts"
Web3.js,Programming & DB,"web3.js, ethers.js, ethers"
Selenium,QA & Testing,"selenium webdriver, selenium automation"
Playwright,QA & Testing,"playwright testing, playwright e2e"
Cypress,QA & Testing,"cypress e2e, cypress testing"
Postman,QA & Testing,"postman api, api testing"
Manual Testing,QA & Testing,"manual testing, test cases, qa testing"
API Testing,QA & Testing,"api testing, rest api validation, postman testing"
Automation Testing,QA & Testing,"automation testing, test automation"
Nmap,Cyber & Security,"nmap network scan, port scanning"
Burp Suite,Cyber & Security,"burp suite, web app security testing"
Metasploit,Cyber & Security,"metasploit framework, penetration testing"
OWASP,Cyber & Security,"owasp top 10, web application security"
SIEM,Cyber & Security,"siem, splunk, wazuh, qradar, security information"
Ethical Hacking,Cyber & Security,"ethical hacking, white hat hacking"
Threat Detection,Cyber & Security,"threat detection, incident response, soc analysis"
Log Analysis,Cyber & Security,"log analysis, log parsing, elk, splunk logs"
Cryptography,Cyber & Security,"encryption, ssl/tls, hashing, rsa, aes, cryptography"
Penetration Testing,Cyber & Security,"pentesting, pen testing, vulnerability assessment"
Firewalls,Cyber & Security,"firewall configuration, iptables, pfSense"
Unity,Game & Interactive,"unity engine, unity 3d, unity c#"
Unreal Engine,Game & Interactive,"unreal, ue4, ue5, unreal c++"
OpenXR,Game & Interactive,"openxr, vr ar development"
Blender,Game & Interactive,"blender 3d, 3d modeling"
ROS,Hardware & Embedded,"robot operating system, ros, ros1"
ROS2,Hardware & Embedded,"ros2, robot operating system 2"
Arduino,Hardware & Embedded,"arduino uno, microcontroller programming"
STM32,Hardware & Embedded,"stm32 microcontroller, arm cortex"
ESP32,Hardware & Embedded,"esp32 wifi bluetooth, esp-idf"
RTOS,Hardware & Embedded,"real time operating system, freertos, rtos"
MQTT,Hardware & Embedded,"mqtt protocol, iot messaging"
Raspberry Pi,Hardware & Embedded,"raspberry pi, rpi"
Figma,Product & Design,"figma design, wireframing, ui ux design"
Apex,Programming & DB,"salesforce apex, apex code"
SOQL,Programming & DB,"salesforce soql, soql queries"
Lightning,Programming & DB,"salesforce lightning, lwc"
Salesforce APIs,Programming & DB,"salesforce rest api, salesforce integration"
CRM Concepts,Product & Management,"customer relationship management, crm workflows"
ABAP,Programming & DB,"sap abap, abap programming"
SAP Modules,Enterprise Tech,"sap erp, sap fico, sap mm, sap sd"
Active Directory,IT Operations,"ad, windows active directory, ldap"
Troubleshooting,IT Operations,"it troubleshooting, hardware diagnostics, network diagnostics"
Windows,IT Operations,"windows server, windows os, powershell"
Jenkins,DevOps & MLOps,"jenkins ci, jenkins pipeline"
GitHub Actions,DevOps & MLOps,"gh actions, github ci/cd"
Prometheus,DevOps & MLOps,"prometheus monitoring, metrics"
Grafana,DevOps & MLOps,"grafana dashboards, observability"
Ansible,DevOps & MLOps,"ansible automation, playbooks"
Spring Boot,Web & API,"spring boot, spring framework, spring mvc"
DSA,Core CS,"data structures and algorithms, dsa"
DBMS,Core CS,"database management systems, dbms, relational database"
Caching,Core CS,"redis caching, memcached, distributed cache"
Load Balancing,Core CS,"load balancing, nginx, haproxy, alb"
Microservices,Core CS,"microservices architecture, distributed services"
Distributed Systems,Core CS,"distributed systems, high availability, consensus"
IAM,Big Data & Cloud,"identity and access management, aws iam, rbac"
DevSecOps,DevOps & MLOps,"devsecops, sast, dast, container security"
SAST/DAST,Cyber & Security,"sast, dast, static analysis, dynamic analysis"
YOLO,Machine Learning & Deep Learning,"yolo object detection, yolov8, yolov5"
Hive,Big Data & Cloud,"apache hive, hive ql"
Financial Mathematics,Data Analysis & BI,"quantitative finance, risk analytics, financial modeling"
Probability,Data Analysis & BI,"probability theory, bayesian probability, distributions"
Mathematics,Data Analysis & BI,"linear algebra, calculus, discrete math, 3d math"
3D Math,Game & Interactive,"vector math, matrices, quaternions, 3d math"
Shaders,Game & Interactive,"hlsl, glsl, shader programming, compute shaders"
Physics,Game & Interactive,"physics simulation, rigid body, collision detection"
Computer Graphics,Game & Interactive,"opengl, directx, vulkan, rendering"
Sensors,Hardware & Embedded,"iot sensors, lidar, imu, ultrasonic, accelerometer"
Control Systems,Hardware & Embedded,"pid controller, state space, feedback control"
Core Data,Mobile Engineering,"core data, ios local db"
Firebase,Web & API,"google firebase, firestore, firebase auth"
Design Systems,Product & Design,"design systems, ui components, styling guides"
Responsive Design,Web & API,"responsive design, mobile first, media queries"
Accessibility,Web & API,"a11y, web accessibility, wcag"
Wireframing,Product & Design,"wireframing, mockups, prototyping"
Prototyping,Product & Design,"figma prototyping, interactive prototypes"
User Research,Product & Design,"user interviews, usability testing, user research"
Agile,Soft Skills,"agile methodology, scrum, sprint planning"
Scrum,Soft Skills,"scrum master, daily standup, sprint retrospective"
Jira,Soft Skills,"atlassian jira, issue tracking, sprint boards"
Product Management,Product & Management,"product roadmap, prd, feature prioritization"
DNS,Core CS,"domain name system, dns resolution"
HTTP,Core CS,"http, https, rest protocol"
TCP/IP,Core CS,"transmission control protocol, ip routing, socket"
