Job Role,Category,Must_Have_Skills,Good_To_Have_Skills,Benchmark_Description,Experience_Level
NLP,Data Science & AI,"Python, NLP, spaCy, NLTK, Transformers, Hugging Face, LLMs","Embeddings, PyTorch, Text Mining, LangChain","Seeking an NLP Engineer to build entity recognition pipelines, semantic embeddings, and transformer-based language solutions.",Mid-Senior Level
Computer Vision,Data Science & AI,"Python, OpenCV, NumPy, CNN, PyTorch, YOLO","Computer Vision, Deep Learning, Image Processing, Docker","Seeking a Computer Vision Engineer to build real-time object detection, segmentation, and camera vision pipelines.",Mid-Senior Level
AI Engineering,Data Science & AI,"Python, Machine Learning, Deep Learning, LLMs, RAG, Vector Databases, Docker","FastAPI, LangChain, Cloud Computing, Model Deployment",Seeking an AI Engineer to bridge AI model research with production software microservices and scalable cloud APIs.,Mid-Senior Level
Data Engineering,Data Science & AI,"Python, SQL, Apache Spark, Airflow, Kafka, Data Warehousing","Snowflake, BigQuery, AWS, dbt","Looking for a Data Engineer to design robust ETL data pipelines, distributed Spark jobs, and real-time streaming architectures.",Mid-Senior Level
Big Data,Data Science & AI,"Hadoop, Apache Spark, Kafka, SQL, Distributed Systems","Hive, Cassandra, AWS, PySpark",Seeking a Big Data Engineer to maintain petabyte-scale distributed data processing infrastructure and Spark/Kafka pipelines.,Mid-Senior Level
Cloud Computing,Cloud & Infrastructure,"AWS, Linux, Networking, Docker, Kubernetes, IAM","Azure, Google Cloud, Terraform, Microservices","Seeking a Cloud Engineer to architect scalable virtual infrastructure, secure VPC networks, and containerized deployments.",Mid-Senior Level
DevOps,Cloud & Infrastructure,"Linux, Git, CI/CD, Docker, Kubernetes, Terraform, AWS","Jenkins, GitHub Actions, Prometheus, Grafana","Join as a DevOps Engineer to automate build and deployment pipelines, maintain Kubernetes clusters, and optimize cloud infrastructure.",Mid-Senior Level
Cybersecurity,Cyber & Security,"Networking, Linux, Cryptography, Cyber Security, OWASP, SIEM","Penetration Testing, Ethical Hacking, Threat Analysis","Seeking a Cybersecurity Analyst to monitor vulnerabilities, configure SIEM tooling, and safeguard network environments.",Entry-Mid Level
Ethical Hacking / Pentesting,Cyber & Security,"Linux, Networking, Python, Nmap, Burp Suite, OWASP, Metasploit","Penetration Testing, Ethical Hacking, Cyber Security","Seeking a Penetration Tester to conduct vulnerability scans, web security audits, and authorized penetration assessments.",Mid-Senior Level
SOC / Security Analyst,Cyber & Security,"Networking, Linux, SIEM, Cyber Security, Threat Detection, Log Analysis","Incident Response, Cryptography, Firewalls","Looking for a Security Operations Center (SOC) Analyst to analyze event logs, respond to security incidents, and mitigate threats.",Entry-Mid Level
Database / DBA,Software Engineering,"SQL, MySQL, PostgreSQL, Oracle, Database Design, Linux","Performance Tuning, Redis, MongoDB, Replication","Seeking a Database Administrator (DBA) to manage database replication, query indexing, transactions, and automated backups.",Mid-Senior Level
Mobile Development,Mobile Engineering,"Flutter, React Native, JavaScript, Dart, REST APIs, Git","Kotlin, Swift, Android Studio, Firebase",Seeking a Mobile App Developer to build cross-platform applications for iOS and Android using Flutter and React Native.,Entry-Mid Level
Android Development,Mobile Engineering,"Kotlin, Android Studio, Jetpack, REST APIs, Firebase, Git","Java, XML, SQLite, Architecture Components","Seeking an Android Developer to build performant mobile applications using Kotlin, Android Studio, and Jetpack Compose.",Entry-Mid Level
iOS Development,Mobile Engineering,"Swift, Xcode, SwiftUI, REST APIs, Core Data, Git","UIKit, CocoaPods, Objective-C, iOS Architecture","Seeking an iOS Developer to build native Apple iOS applications using Swift, Xcode, SwiftUI, and local Core Data storage.",Entry-Mid Level
Game Development,Game & Interactive,"C++, C#, Unity, Unreal Engine, Git","Shaders, Physics, 3D Math, Computer Graphics","Seeking a Game Developer with strong C++/C# skills to build real-time gameplay loops, shaders, and physics in Unity or Unreal.",Mid-Senior Level
Embedded Systems,Hardware & Embedded,"C, C++, Linux, Microcontrollers, RTOS","Arduino, STM32, ESP32, Hardware Protocols",Seeking an Embedded Systems Engineer to write low-level firmware for microcontrollers and real-time RTOS architectures.,Mid-Senior Level
IoT,Hardware & Embedded,"C, C++, MQTT, Networking, Raspberry Pi, ESP32, Python","IoT, Arduino, Cloud Computing, SQL","Seeking an IoT Engineer to build connected sensor networks, edge compute nodes with ESP32/Raspberry Pi, and MQTT brokers.",Mid-Senior Level
Blockchain/Web3,Software Engineering,"Solidity, Ethereum, Smart Contracts, JavaScript, Cryptography","Web3.js, Ethers.js, Node.js, Rust","Seeking a Web3 Blockchain Developer to author and audit secure smart contracts, dApps, and EVM network protocols.",Mid-Senior Level
QA / Software Testing,QA & Testing,"Manual Testing, Selenium, API Testing, SQL, Postman, CI/CD","Automation Testing, Pytest, Git, JIRA","Looking for a QA Engineer to design end-to-end test cases, validate REST APIs with Postman, and perform regression testing.",Entry-Mid Level
Automation Testing,QA & Testing,"Selenium, Playwright, Cypress, Python, JavaScript, Java, CI/CD","API Testing, Postman, Git, Docker","Seeking an Automation Test Engineer to develop automated UI and API test suites using Selenium, Playwright, or Cypress.",Mid-Senior Level
System Design,Software Engineering,"System Design, OOP, DBMS, Networking, REST APIs, Caching, Load Balancing","Microservices, Distributed Systems, SQL, Redis","Seeking a System Design Engineer to architect high-throughput distributed systems, caching layers, and decoupled message queues.",Mid-Senior Level
Networking,Cloud & Infrastructure,"Networking, Linux, Firewalls, DNS, HTTP, TCP/IP","Wireshark, Routing, Switching, Cyber Security","Seeking a Network Engineer to manage routing protocols, DNS resolution, firewall configurations, and enterprise network topology.",Entry-Mid Level
Systems Programming,Software Engineering,"C, C++, Linux, Operating Systems, Networking","Memory Management, Threads, Processes, Bash Scripting","Seeking a Systems Programmer to write high-performance low-level systems software, multithreaded services, and kernel interfaces.",Mid-Senior Level
UI/UX Engineering,Product & Design,"HTML, CSS, JavaScript, Figma, Responsive Design, Design Systems","React, Accessibility, Wireframing, UI/UX Design","Seeking a UI/UX Engineer to bridge UX design with frontend development, crafting responsive design systems in Figma and code.",Entry-Mid Level
AR/VR,Game & Interactive,"Unity, Unreal Engine, C++, C#, 3D Math, OpenXR","Blender, Computer Graphics, Shaders, Physics","Seeking an AR/VR Developer to build immersive spatial computing experiences using Unity, Unreal Engine, and OpenXR.",Mid-Senior Level
Robotics,Hardware & Embedded,"C++, Python, ROS, ROS2, Computer Vision, Sensors","Control Systems, Embedded Systems, OpenCV, Linux","Seeking a Robotics Engineer to develop robot localization, navigation, perception, and actuator control using ROS/ROS2.",Mid-Senior Level
Quant / FinTech Tech,Data Science & AI,"Python, C++, DSA, Probability, Statistics, SQL, Time Series Analysis","Machine Learning, Financial Mathematics, NumPy, Pandas","Seeking a Quantitative Analyst / FinTech Engineer to build financial mathematical models, time series predictions, and DSA algorithms.",Senior Level
ERP / Enterprise Software,Software Engineering,"SQL, Java, .NET, REST APIs, Oracle, Database Design","SAP Modules, Microservices, Enterprise Architecture, Spring Boot","Seeking an Enterprise Software Engineer to integrate enterprise ERP systems, manage relational database transactions, and build APIs.",Mid-Senior Level
Salesforce Development,Software Engineering,"Apex, SOQL, Lightning, JavaScript, Salesforce APIs","CRM Concepts, REST APIs, SQL, Git","Seeking a Salesforce Developer to author Apex triggers, write SOQL queries, and design custom Lightning web components.",Mid-Senior Level
SAP,Enterprise Tech,"SAP Modules, ABAP, SQL, Database Design","SAP ERP, Integration, Enterprise Architecture, Java","Seeking an SAP Consultant / ABAP Developer to customize enterprise SAP modules, author ABAP scripts, and optimize business processes.",Mid-Senior Level
Technical Support / IT Support,IT Operations,"Windows, Linux, Networking, Active Directory, Troubleshooting","Bash Scripting, Hardware Diagnostics, Cyber Security, DNS","Seeking an IT Support Specialist to troubleshoot hardware/software, manage Active Directory user access, and configure network routers.",Entry-Mid Level
Site Reliability Engineering (SRE),Cloud & Infrastructure,"Linux, Networking, Cloud Computing, Docker, Kubernetes, CI/CD","Prometheus, Grafana, Terraform, Python, Go","Seeking an SRE to drive 99.99% system availability, configure Prometheus/Grafana monitoring, and automate infrastructure failover.",Mid-Senior Level
MLOps,Data Science & AI,"Python, Machine Learning, Docker, Kubernetes, MLflow, CI/CD","AWS, Model Deployment, Linux, FastAPI",Seeking an MLOps Engineer to bridge machine learning pipelines with production Kubernetes deployments and MLflow tracking.,Mid-Senior Level
Cloud Security,Cyber & Security,"Cloud Computing, IAM, Networking, Cryptography, DevSecOps","AWS, Docker, Kubernetes, Cyber Security","Seeking a Cloud Security Engineer to audit cloud permissions, configure IAM policies, and enforce data encryption standards.",Mid-Senior Level
DevSecOps,Cyber & Security,"DevOps, CI/CD, Cyber Security, Docker, Kubernetes, SAST/DAST","Cloud Security, Terraform, Linux, Secrets Management",Seeking a DevSecOps Engineer to integrate security vulnerability scanning (SAST/DAST) directly into automated CI/CD pipelines.,Mid-Senior Level
Solutions Architect,Cloud & Infrastructure,"Cloud Computing, System Design, Networking, SQL, REST APIs, Cyber Security","AWS, Microservices, Distributed Systems, Terraform","Seeking a Solutions Architect to design enterprise-grade cloud systems, distributed microservice patterns, and secure architectures.",Senior Level
Technical Product Engineering,Product & Management,"Programming, REST APIs, SQL, System Design, Git, Agile","Cloud Computing, Testing, Product Management, Jira","Seeking a Technical Product Engineer to align software engineering architecture, API design, and agile product roadmaps.",Mid-Senior Level
Research / AI Research,Data Science & AI,"Python, Statistics, Machine Learning, Deep Learning, PyTorch","Transformers, Research, Mathematics, Neural Networks","Seeking an AI Researcher to formulate novel deep neural network architectures, conduct ML experiments, and publish evaluations.",Senior Level
